Year,unemployment rate,County,Poverty Rate
1990,6.825,Alabama,19.2
1990,7.258333333,Alaska,11.4
1990,5.216666667,Arizona,13.7
1990,6.875,Arkansas,19.6
1990,5.791666667,California,13.9
1990,5.133333333,Colorado,13.7
1990,4.933333333,Connecticut,6
1990,4.408333333,Delaware,6.9
1990,5.891666667,District of Columbia,21.1
1990,6.233333333,Florida,14.4
1990,5.366666667,Georgia,15.8
1990,2.6,Hawaii,11
1990,6.3,Illinois,13.7
1990,5.108333333,Indiana,13
1990,4.25,Kansas,10.3
1990,6.041666667,Kentucky,17.3
1990,6.233333333,Louisiana,23.6
1990,4.3,Maryland,9.9
1990,6.4,Massachusetts,10.7
1990,7.7,Michigan,14.3
1990,4.7,Minnesota,12
1990,5.9,Missouri,13.4
1990,2.4,Nebraska,10.3
1990,4.7,Nevada,9.8
1990,5.066666667,NewJersey,9.2
1990,5.066666667,NewMexico,20.9
1990,5.066666667,NewYork,14.3
1990,5.066666667,NorthCarolina,13
1990,5.066666667,NorthDakota,13.7
1990,5.066666667,Ohio,11.5
1990,5.066666667,Oklahoma,15.6
1990,5.066666667,Oregon,9.2
1990,5.066666667,Pennsylvania,11
1990,5.066666667,PuertoRico,
1990,5.35,TENNESSE,16.9
1990,6.383333333,TEXAS,15.9
1990,4.383333333,UTAH,8.2
1990,4.416666667,VIRGINIA,11.1
1990,5.166666667,WASHINGTON,8.9
1990,4.366666667,WISCONSIN,9.3
1991,7.325,Alabama,18.8
1991,8.341666667,Alaska,11.8
1991,5.858333333,Arizona,14.8
1991,7.308333333,Arkansas,17.3
1991,7.825,California,15.7
1991,5.283333333,Colorado,10.4
1991,6.55,Connecticut,8.6
1991,5.916666667,Delaware,7.5
1991,7.7,District of Columbia,18.6
1991,7.641666667,Florida,15.4
1991,5.283333333,Georgia,17.2
1991,2.791666667,Hawaii,7.7
1991,7.283333333,Illinois,13.5
1991,5.7,Indiana,15.7
1991,4.45,Kansas,12.3
1991,7.316666667,Kentucky,18.8
1991,7.241666667,Louisiana,19
1991,5.9,Maryland,9.1
1991,8.9,Massachusetts,11
1991,9.3,Michigan,14.1
1991,5.1,Minnesota,12.9
1991,6.6,Missouri,14.8
1991,2.7,Nebraska,9.5
1991,5.9,Nevada,11.4
1991,6.783333333,NewJersey,9.7
1991,6.783333333,NewMexico,22.4
1991,6.783333333,NewYork,15.3
1991,6.783333333,NorthCarolina,14.5
1991,6.783333333,NorthDakota,14.5
1991,6.783333333,Ohio,13.4
1991,6.783333333,Oklahoma,17
1991,6.783333333,Oregon,13.5
1991,6.783333333,Pennsylvania,11
1991,6.783333333,PuertoRico,
1991,6.6,TENNESSE,15.5
1991,6.983333333,TEXAS,17.5
1991,4.758333333,UTAH,12.9
1991,5.808333333,VIRGINIA,9.9
1991,6.091666667,WASHINGTON,9.5
1991,5.375,WISCONSIN,9.9
1992,7.525,Alabama,17.3
1992,8.858333333,Alaska,10.2
1992,7.566666667,Arizona,15.8
1992,7,Arkansas,17.5
1992,9.35,California,16.4
1992,6.091666667,Colorado,10.8
1992,7.333333333,Connecticut,9.8
1992,5.225,Delaware,7.8
1992,8.583333333,District of Columbia,20.3
1992,8.366666667,Florida,15.6
1992,6.608333333,Georgia,17.7
1992,4.141666667,Hawaii,11.2
1992,7.866666667,Illinois,15.6
1992,6.091666667,Indiana,11.8
1992,4.566666667,Kansas,11.1
1992,6.891666667,Kentucky,19.7
1992,7.833333333,Louisiana,24.5
1992,6.5,Maryland,11.8
1992,8.8,Massachusetts,10.3
1992,9.1,Michigan,13.6
1992,5,Minnesota,13
1992,6.2,Missouri,15.7
1992,2.9,Nebraska,10.6
1992,6.8,Nevada,14.7
1992,8.508333333,NewJersey,10.3
1992,8.508333333,NewMexico,21.6
1992,8.508333333,NewYork,15.7
1992,8.508333333,NorthCarolina,15.8
1992,8.508333333,NorthDakota,12.1
1992,8.508333333,Ohio,12.5
1992,8.508333333,Oklahoma,18.6
1992,8.508333333,Oregon,11.4
1992,8.508333333,Pennsylvania,11.9
1992,8.508333333,PuertoRico,
1992,6.45,TENNESSE,17
1992,7.683333333,TEXAS,18.3
1992,4.875,UTAH,9.4
1992,6.158333333,VIRGINIA,9.5
1992,7.191666667,WASHINGTON,11.2
1992,5.091666667,WISCONSIN,10.9
1993,7.241666667,Alabama,17.4
1993,7.8,Alaska,9.1
1993,6.366666667,Arizona,15.4
1993,6.133333333,Arkansas,20
1993,9.533333333,California,18.2
1993,5.383333333,Colorado,9.9
1993,6.483333333,Connecticut,8.5
1993,4.908333333,Delaware,10.2
1993,8.4,District of Columbia,26.4
1993,7.4,Florida,17.8
1993,5.716666667,Georgia,13.5
1993,4.383333333,Hawaii,8
1993,7.491666667,Illinois,13.6
1993,5.116666667,Indiana,12.2
1993,4.941666667,Kansas,13.1
1993,6.191666667,Kentucky,20.4
1993,7.458333333,Louisiana,26.4
1993,6,Maryland,9.7
1993,7.3,Massachusetts,10.7
1993,7.4,Michigan,15.4
1993,4.8,Minnesota,11.6
1993,6.2,Missouri,16.1
1993,2.8,Nebraska,10.3
1993,6.9,Nevada,9.8
1993,7.775,NewJersey,10.9
1993,7.775,NewMexico,17.4
1993,7.775,NewYork,16.4
1993,7.775,NorthCarolina,14.4
1993,7.775,NorthDakota,11.2
1993,7.775,Ohio,13
1993,7.775,Oklahoma,19.9
1993,7.775,Oregon,11.8
1993,7.775,Pennsylvania,13.2
1993,7.775,PuertoRico,
1993,5.85,TENNESSE,19.6
1993,7.216666667,TEXAS,17.4
1993,4.05,UTAH,10.7
1993,5.2,VIRGINIA,9.7
1993,7.275,WASHINGTON,12.1
1993,4.375,WISCONSIN,12.6
1994,6.175,Alabama,16.4
1994,7.616666667,Alaska,10.2
1994,6.191666667,Arizona,15.9
1994,5.441666667,Arkansas,15.3
1994,8.65,California,17.9
1994,4.141666667,Colorado,9
1994,5.541666667,Connecticut,10.8
1994,4.7,Delaware,8.3
1994,7.933333333,District of Columbia,21.2
1994,6.475,Florida,14.9
1994,5.066666667,Georgia,14
1994,5.175,Hawaii,8.7
1994,5.8,Illinois,12.4
1994,4.658333333,Indiana,13.7
1994,4.783333333,Kansas,14.9
1994,5.35,Kentucky,18.5
1994,7.65,Louisiana,25.7
1994,5.2,Maryland,10.7
1994,6.2,Massachusetts,9.7
1994,6.1,Michigan,14.1
1994,4,Minnesota,11.7
1994,5.2,Missouri,15.6
1994,2.6,Nebraska,8.8
1994,6.2,Nevada,11.1
1994,6.825,NewJersey,9.2
1994,6.825,NewMexico,21.1
1994,6.825,NewYork,17
1994,6.825,NorthCarolina,14.2
1994,6.825,NorthDakota,10.4
1994,6.825,Ohio,14.1
1994,6.825,Oklahoma,16.7
1994,6.825,Oregon,11.8
1994,6.825,Pennsylvania,12.5
1994,6.825,PuertoRico,
1994,4.808333333,TENNESSE,14.6
1994,6.566666667,TEXAS,19.1
1994,3.741666667,UTAH,8
1994,4.8,VIRGINIA,10.7
